"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1883189741312684380","Sat Jan 25 16:26:36 +0000 2025","0","Daripada makan siang gratis mendingan ini.","1883189741312684380","","","in","Banten, Indonesia","0","0","0","https://x.com/finidebriani/status/1883189741312684380","83586867","finidebriani"
"1883086569915232560","Sat Jan 25 16:16:05 +0000 2025","0","@vernonsipil @BANGSAygSUJUD membela mbg disebut bias ? pekok lu lu gak mau anak2 sekolah bs makan siang gratis pas jam istirahat ? di sejumlah negara jg diterapkan itu","1883187091938681249","","vernonsipil","in","","0","0","0","https://x.com/WhiteTigerXR/status/1883187091938681249","1856386235268530176","WhiteTigerXR"
"1883003041932300417","Sat Jan 25 16:07:31 +0000 2025","0","@idextratime makanya itu anggaran dituruninnya terlalu banyak ngopernya blog ya pasti 'dicicipin' itu si makan siang gratis","1883184937186246738","","idextratime","in","","0","0","0","https://x.com/smaskots/status/1883184937186246738","1158288381631090688","smaskots"
"1883184703953613092","Sat Jan 25 16:06:35 +0000 2025","0","Jadi karyawan di industri Cikarang dapat makan siang dan jemputan. Pagi dapat roti sorenya dapat susu uht. Dan semuanya gratis. UMR lebih gede dr Jakarta dapat lemburan yg bayarannya dihitung per-jam meskipun ada bus jemputan tetap dikasih uang transport dr rumah ke meeting","1883184703953613092","","","in","","0","0","0","https://x.com/annartelier/status/1883184703953613092","1531300105844068353","annartelier"
"1882806044201750794","Sat Jan 25 15:58:57 +0000 2025","0","@excettra Jangan jangan diambil abang ya makan siang gratis nya? Abang juga kan punya rolek ama merci","1883182780517081290","","excettra","in","","0","1","0","https://x.com/Licelalissa/status/1883182780517081290","2562463639","Licelalissa"
"1883181762387566726","Sat Jan 25 15:54:54 +0000 2025","0","ampe males gua ngomenin wasit model gtuan ksi makan siang gratis aja ude yg gtu biar keracunan","1883181762387566726","","","in","","0","0","0","https://x.com/neverlooose/status/1883181762387566726","1241854767199956992","neverlooose"
"1883139143439438037","Sat Jan 25 15:48:11 +0000 2025","0","@tanyarlfes Pantes di kasih makan siang gratis pada girang banget","1883180071609147414","","tanyarlfes","in","Uranus ","0","0","0","https://x.com/Dalivxz_/status/1883180071609147414","1687765328607186944","Dalivxz_"
"1883174489225372107","Sat Jan 25 15:26:00 +0000 2025","0","Dibagian timur Indonesia makan siang gratis ini sangat dibutuhkan sementara dibagian lain makan sing ini dijadikan olok olok hanya sekedar untuk ngasi makan ego bahwa mereka merasa lebih intelektual dibanding pemilih Prabowo. Tanpa sadar mereka masih miskin miskin moral!","1883174489225372107","","","in","tegalmengkeb","0","0","0","https://x.com/Yogesswarachand/status/1883174489225372107","1143027278151946241","Yogesswarachand"
"1882806044201750794","Sat Jan 25 15:23:09 +0000 2025","0","@Licelalissa knp makan angin kan ada makan siang gratis","1883173772452413943","","Licelalissa","in","nsa🔞","0","1","0","https://x.com/excettra/status/1883173772452413943","1116980304","excettra"
"1883161356729499753","Sat Jan 25 15:19:23 +0000 2025","0","@__20030__ Bye km gak dapet makan siang gratis ya abis ini ak sakit heart","1883172823646265663","","__20030__","in","19","0","1","0","https://x.com/mikupresiden/status/1883172823646265663","1794939652052484096","mikupresiden"
"1881933621977911615","Sat Jan 25 15:13:45 +0000 2025","0","@corbuzier Coba kamu podcast sama orang ini tentang makan siang gratis ded pasti seru https://t.co/03ryk7H0R3","1883171407406010794","https://pbs.twimg.com/media/GiJeabNasAAwkT1.jpg","corbuzier","in","","0","0","0","https://x.com/Soto83156897/status/1883171407406010794","1513747883727618049","Soto83156897"
"1883171011358830781","Sat Jan 25 15:12:11 +0000 2025","0","Osamunya buka usaha catering buat makan siang gratis","1883171011358830781","","","in","kiyo's heart","0","0","0","https://x.com/kiy0yuusha/status/1883171011358830781","1337049161850638338","kiy0yuusha"
"1883167279388758521","Sat Jan 25 15:08:16 +0000 2025","0","@puy0h @v_frontline_pc Aslina om ieu berawal ti podkes pengalihan isu makan siang gratis tea sanes?","1883170027094089971","","puy0h","in","Bandung, Jawa Barat","0","0","0","https://x.com/0_ferdhiansyah/status/1883170027094089971","2881456201","0_ferdhiansyah"
"1881546582879023439","Sat Jan 25 15:07:47 +0000 2025","0","@Chynthia_K SEKOLAH INTERNATIONAL DAPAT MAKAN SIANG GRATIS JUGA ??? https://t.co/UHT1IXrNeu","1883169904897208523","https://pbs.twimg.com/media/GiJdDKFa4AARLle.png","Chynthia_K","in","","0","0","0","https://x.com/MeYou419787/status/1883169904897208523","1803672518252961793","MeYou419787"
"1883168974667747831","Sat Jan 25 15:04:05 +0000 2025","0","Anggaran Makan Siang Gratis 71T btw itupun sudah disunat dari rencana awal 15rb per kepala menjadi 10rb. Besar anggarannya diatas Kemendik.","1883168974667747831","","","in","","0","0","0","https://x.com/machitacho/status/1883168974667747831","1531266887920672768","machitacho"
"1883160581764698317","Sat Jan 25 15:01:55 +0000 2025","1","@yoshua_bayu13 @memefess Lucu juga kamu le nih makan siang gratis buatmu!","1883168428741296246","","yoshua_bayu13","in","","0","0","0","https://x.com/Devanfadz/status/1883168428741296246","1219935433196326912","Devanfadz"
"1883167973248241837","Sat Jan 25 15:00:07 +0000 2025","0","Maaf nak! Bapak nggak bisa ngasih warisan 1 miliar. Tapi ini ada kumpulan reusable thinwall box bekas nasi kuning/ayam katsu yg lebih enak dari makan siang gratis itu. https://t.co/aixuVKdNpl","1883167973248241837","https://pbs.twimg.com/media/GiJbSQtaoAAaCqk.jpg","","in","Moving from one arc to another","0","0","0","https://x.com/aminoremen/status/1883167973248241837","2357740802","aminoremen"
"1883163400555139302","Sat Jan 25 14:41:56 +0000 2025","0","serangga bisa jd menu makan siang gratis (wow)","1883163400555139302","","","in","","0","2","0","https://x.com/nanneunna/status/1883163400555139302","1323857069649227777","nanneunna"
"1882947596836380913","Sat Jan 25 14:35:19 +0000 2025","0","@Pai_C1 ini bukti kalo program makan siang gratis itu ga berguna. akar permasalahannya ga diselesaikan. harusnya harga pangan distabilkan lapangan pekerjaan di perbanyak. biar orang tuanya bisa kerja yang bisa makan sekeluarga. bkn makan siang gratis smntara mak bapak dirumah kelaparan","1883161735861084382","","Pai_C1","in","","0","0","0","https://x.com/matchamanisu/status/1883161735861084382","1817096791214686208","matchamanisu"
"1882925521153175856","Sat Jan 25 14:35:13 +0000 2025","1","@maulanafikri455 Valid.. dari aku payroll sepcialist dari beberapa perusahaan di scbd trus memutuskan pindah ke daerah kwasan industri .. bagai langit dan bumi dari segi salary fasilitas (antar jemput makan siang kopi gratis) rekan kerja yg layaknya kerja dan pulang (no lembur2)","1883161709252395378","","maulanafikri455","in","","0","0","0","https://x.com/AstandforAL/status/1883161709252395378","394027618","AstandforAL"
"1882629708577423666","Sat Jan 25 14:34:51 +0000 2025","0","makan siang gratis aa https://t.co/qTbAjwrPKC","1883161617208336764","https://pbs.twimg.com/media/GiJVgohaAAAitoz.jpg","berimagine","in","通天閣","0","0","0","https://x.com/berimagine/status/1883161617208336764","1038597659831857152","berimagine"
"1883159176328917318","Sat Jan 25 14:33:26 +0000 2025","0","@haarvardy closed agency yuk main nanti dapet makan siang gratis","1883161261145555353","","haarvardy","in","afaiueopqrst","0","1","0","https://x.com/arsilasso/status/1883161261145555353","4539881761","arsilasso"
"1883160075113763250","Sat Jan 25 14:28:43 +0000 2025","0","memenuhi kriteria sasaran penerima program makan siang bergizi gratis https://t.co/PbbqAwjcbB","1883160075113763250","https://pbs.twimg.com/amplify_video_thumb/1883147472916393984/img/Dki0AxgchxgmGuWE.jpg","","in","","0","3","0","https://x.com/nyumst/status/1883160075113763250","1569257340670717954","nyumst"
"1882825683136807412","Sat Jan 25 14:28:16 +0000 2025","0","@msaid_didu @prabowo Sy kira jangan mau TNI Polri menerima tawaran itu .. Gak ada makan siang gratis.. Pasti ada mau nya..","1883159960131194916","","msaid_didu","in","","0","0","0","https://x.com/ZBenmest/status/1883159960131194916","1487683961338068996","ZBenmest"
"1883151721947619692","Sat Jan 25 14:23:06 +0000 2025","0","@edspoir @aruspasang Ikut makan siang gratis aja","1883158658059743651","","edspoir","in","@OurADIRAJADA🫶@thePRABASWARA","0","0","0","https://x.com/sukamerern/status/1883158658059743651","1539258139819839488","sukamerern"
"1883149654092825008","Sat Jan 25 14:22:22 +0000 2025","0","@ofHoneyLady Besok minta makan siang gratis lagi ga by?","1883158474563145968","","ofHoneyLady","in","She, Jane Daenerys.","0","0","0","https://x.com/na___oi/status/1883158474563145968","2430763303","na___oi"
"1882701068708258120","Sat Jan 25 14:18:30 +0000 2025","0","@azziexivr @yangmuliadiva Seingatku dia ngulang kalimat pindah ke IKN sama makan siang gratis ","1883157502503837806","","azziexivr","in","","0","1","0","https://x.com/MayPutJ/status/1883157502503837806","1568672482533703681","MayPutJ"
"1883157012701392958","Sat Jan 25 14:17:25 +0000 2025","0","triliun meski alokasi per porsinya turun dari Rp15 ribu menjadi Rp10 ribu. kemudian memasukkan kata kunci anggaran makan siang gratis tetap 71 Triliun ke mesin pencari Google. Salah satu penelusuran teratas mengarah ke pemberitaan https://t.co/NjJFLeynzA Badan Gizi Buka-bukaan","1883157227646959836","","humaspoldajbr","in","Kota Bandung, Jawa Barat","0","1","0","https://x.com/humaspoldajbr/status/1883157227646959836","218742561","humaspoldajbr"
"1882436266148659661","Sat Jan 25 14:16:18 +0000 2025","0","@prabowo Makan siang gratis buat daerah yang stunting aja pak. Ruwet lah anggaran K/L banyak dipotong. Situ enak jalan jalan terus","1883156949120000009","","prabowo","in","","0","0","0","https://x.com/SitiHum4idah/status/1883156949120000009","1790375255988445185","SitiHum4idah"
"1883151531475910749","Sat Jan 25 14:13:59 +0000 2025","3","@thejurgenholic Makasih Gen Tutorial cara ganti makan siang gratis jadi gacoannya Yang mau tau DM Gentod ini guys https://t.co/x2HXGdo7Sp","1883156364308234622","https://pbs.twimg.com/media/GiJQuz7aIAAhsO1.jpg","thejurgenholic","in","Lembang, Indonesia","0","1","0","https://x.com/_Gnwnn/status/1883156364308234622","1739083331646767104","_Gnwnn"
"1883156114034028737","Sat Jan 25 14:12:59 +0000 2025","0","Terkait program makan siang gratis apa pendapat kalian? https://t.co/kkEDwQCf0m","1883156114034028737","https://pbs.twimg.com/media/GiJQgM2bgAAJW6z.jpg","","in","","0","0","0","https://x.com/aryprasetiyo007/status/1883156114034028737","1550911760546537472","aryprasetiyo007"
"1881911773475082387","Sat Jan 25 14:10:38 +0000 2025","0","@arwidodo Kenapa ga minta dilibatkan ngurusin makan siang gratis kaya ormas sebelah kan lumayan dapet jatah juga?","1883155524159692880","","arwidodo","in","","0","0","0","https://x.com/Purnomo09446763/status/1883155524159692880","1490365442958917633","Purnomo09446763"
"1883143822605259091","Sat Jan 25 14:08:22 +0000 2025","0","@blackparadae ini anak muda berbakat yg muncul 2 hari sekali utk upload editan lebih bermutu dari makan siang gratis itu yah","1883154951897309542","","blackparadae","in","","0","0","0","https://x.com/cinetaes/status/1883154951897309542","1871172080395579392","cinetaes"
"1883154441484009497","Sat Jan 25 14:08:00 +0000 2025","0","@kkinderj00y Makan siang gratis dari si ndut","1883154860104937762","","kkinderj00y","in","","0","1","0","https://x.com/tayogaaa_/status/1883154860104937762","1125286235725897729","tayogaaa_"
"1883149815414202875","Sat Jan 25 14:07:08 +0000 2025","0","@soogarplume penerima makan siang gratis bimlek","1883154641732649074","","soogarplume","in","RPS 🦊🐰 MDNI","0","0","0","https://x.com/SOPBUNDDEUK/status/1883154641732649074","1785026012436434944","SOPBUNDDEUK"
"1883154142400782711","Sat Jan 25 14:05:09 +0000 2025","0","Temenan sama Reagan guys nanti dapet bonus makan siang gratis!","1883154142400782711","","","in","She, Mielle Winsly.","0","0","0","https://x.com/roubelitte/status/1883154142400782711","786504932","roubelitte"
"1883043048894161184","Sat Jan 25 13:52:43 +0000 2025","0","@BAHLILCIOUS @fxmario Nggak ada makan siang gratis...","1883151014146228706","","BAHLILCIOUS","in","Yogyakarta, Indonesia","0","0","0","https://x.com/anggmusk/status/1883151014146228706","1333971906588905473","anggmusk"
"1883150463740379532","Sat Jan 25 13:52:34 +0000 2025","0","@pookiemaqq TENGKYU MY POOKIE siap siap fufufafa datang kerumah mau lamar kamu pake 1000 makan siang gratis &gt;&lt;","1883150973826469912","","pookiemaqq","in","Vivianne Chrissalyn.","0","1","0","https://x.com/IKissBlackswan/status/1883150973826469912","1813154473646387200","IKissBlackswan"
"1883136494287900741","Sat Jan 25 13:51:42 +0000 2025","0","@airasstar STOPP GAK ADA YANG NAMANYA MAKAN SIANG GRATIS DIK","1883150758058832214","","airasstar","in","ic: lizi_cai","0","0","0","https://x.com/chigirette/status/1883150758058832214","1402981896527618049","chigirette"
"1883069806490087473","Sat Jan 25 13:50:18 +0000 2025","0","@FleurT__T YANG MAKAN SIANG GRATIS LUCUU BANGETTT","1883150406236450947","","FleurT__T","in","店が開いている ( KEDAI BUKA ) 💧___💧","0","0","0","https://x.com/taekotok/status/1883150406236450947","1402127152338796545","taekotok"
"1870009093236371832","Sat Jan 25 13:47:20 +0000 2025","0","@keuquette Makan siang gratis dri sohibmu itu blm dpet kah","1883149656999530616","","keuquette","in","","0","1","0","https://x.com/soopernindya/status/1883149656999530616","1813556894927384576","soopernindya"
"1883146776607338547","Sat Jan 25 13:35:53 +0000 2025","1","Talkshow tadi pagi byk menyorot ttg program pemberian makan siang bergizi gratis dari pemerintah. Knp tdk belajar dari program terdahulu PMTAS ( Pemberian Makanan Tambahan Anak Sekolah )","1883146776607338547","","","in","West Sumatra, Indonesia","0","0","0","https://x.com/dharmawiguna/status/1883146776607338547","116468854","dharmawiguna"
"1883117006809084235","Sat Jan 25 13:35:39 +0000 2025","0","@Brobelss KAK BIBI!! wordingin upchar aku nanti aku kasih makan siang gratis tis tis &gt;___&lt;","1883146718428217750","","Brobelss","in","2002 — ☆","0","0","0","https://x.com/ewonbint/status/1883146718428217750","508253686","ewonbint"
"1883136494287900741","Sat Jan 25 13:22:50 +0000 2025","0","@chigirette Kak aku blom kebagian makan siang gratis nich","1883143492643557774","","chigirette","in","","0","1","0","https://x.com/airasstar/status/1883143492643557774","1431126370499719169","airasstar"
"1883065454044106850","Sat Jan 25 13:20:40 +0000 2025","0","@SpieltagIndo Yang punya klub orang jawa kali ya. Bisa namanya mak gedebruk","1883142949766373597","","SpieltagIndo","in","","0","0","0","https://x.com/sayaoknum/status/1883142949766373597","1112123755524820992","sayaoknum"
"1883141293464866954","Sat Jan 25 13:17:24 +0000 2025","0","@munvess hellu :3 bertimun sama aku please!! nanti aku kasih makan siang gratis lauknya antara ayam geprek n mie ayam!! :9","1883142127171121557","","munvess","in","airish karuna | dnfwc. ","0","16","0","https://x.com/thebitterflies/status/1883142127171121557","1642187191261736961","thebitterflies"
"1883022059741061220","Sat Jan 25 12:57:45 +0000 2025","0","@tanyarlfes Pasti udah dapet voucher makan siang gratis nih admin","1883137180962529420","","tanyarlfes","in","antah","0","0","0","https://x.com/OufaYusif/status/1883137180962529420","1473464488410050562","OufaYusif"
"1879008774691967134","Sat Jan 25 12:55:38 +0000 2025","0","@haewontu Bantuin ibu kantin biar dapet makan siang gratis ","1883136646629204107","","haewontu","in","chadgmin's safe place","0","1","0","https://x.com/JAC0BBAE/status/1883136646629204107","1733071279136362496","JAC0BBAE"
"1883011324269224310","Sat Jan 25 12:51:37 +0000 2025","0","@Ulumumbo @PNS_Ababil Salah satunya buat makan siang gratis","1883135636095549924","","Ulumumbo","in","","0","0","0","https://x.com/_repenter/status/1883135636095549924","1359497555441197061","_repenter"
"1882794224934154433","Sat Jan 25 12:49:10 +0000 2025","0","@zy_zy_lestary Said Didu sudah menang 2-0 atas kalian para Buzzer Khong Guan !!! - Pagar laut dibongkar - SHGB dicabut. Itu saja sdh buktikan kLian tak lebih dari gerombolan LONDO IRENG yg ngemis ke Aguan minta makan siang gratis. https://t.co/k06FiMVCYS","1883135020447273093","https://pbs.twimg.com/media/GiI9TGzaMAAV_iq.jpg","zy_zy_lestary","in","Indonesia","0","0","0","https://x.com/SaifuddinSay/status/1883135020447273093","1325585170146062336","SaifuddinSay"
"1883133958696906995","Sat Jan 25 12:44:57 +0000 2025","0","klo udh ada makan siang gratis tu panitia event sekolah gk dpt konsum lgi apa ya","1883133958696906995","","","in","","0","0","0","https://x.com/dffaaaa_sf/status/1883133958696906995","1606223427903590400","dffaaaa_sf"
"1883063366262071401","Sat Jan 25 12:31:54 +0000 2025","0","@OposisiCerdas Nahhhhh betul ntuh buat pejabat. Makan siang gratis. Jgn aneh aneh pak. Klo mang dah nga mampu stop aja.","1883130674145902801","","OposisiCerdas","in","","0","0","0","https://x.com/UdinAja5558380/status/1883130674145902801","1768455102069915648","UdinAja5558380"
"1883130309941793221","Sat Jan 25 12:30:27 +0000 2025","0","Dapur masak makan siang gratis pakek PT P info dong lelangnya mau join niccc","1883130309941793221","","","in","Manchester, England","0","0","0","https://x.com/shelovame/status/1883130309941793221","1494843007","shelovame"
"1883128980309778789","Sat Jan 25 12:25:10 +0000 2025","0","@Gerindra min request makan siang gratis untuk mahasiswa ","1883128980309778789","","Gerindra","in","","0","0","0","https://x.com/mrrkcty/status/1883128980309778789","1298191955894050816","mrrkcty"
